sample,search,reference,metadata,gt_x,gt_y,pred_x,pred_y,error_px,zncc_score,runtime_ms,scale_used
sample_015,dataset\search\sample_015_search.png,dataset\reference\sample_015_ref.png,dataset\metadata\sample_015_metadata.json,181.11111111111111,376.0,403.35527804493904,820.0704431906343,496.579327249572,0.8326722979545593,46.360699998331256,0.1
sample_016,dataset\search\sample_016_search.png,dataset\reference\sample_016_ref.png,dataset\metadata\sample_016_metadata.json,873.8888888888889,462.22222222222223,518.661014944315,283.8948244154453,397.47641846494315,0.762413501739502,44.47010000149021,0.1
sample_017,dataset\search\sample_017_search.png,dataset\reference\sample_017_ref.png,dataset\metadata\sample_017_metadata.json,778.7272727272727,623.4545454545455,379.2376734316349,370.6909147799015,472.73818645971164,0.8097274303436279,46.25790000136476,0.1
sample_018,dataset\search\sample_018_search.png,dataset\reference\sample_018_ref.png,dataset\metadata\sample_018_metadata.json,646.2727272727273,544.2727272727273,62.689656496047974,362.6539796888828,611.1911075687071,0.6999930143356323,44.48680000132299,0.1
sample_019,dataset\search\sample_019_search.png,dataset\reference\sample_019_ref.png,dataset\metadata\sample_019_metadata.json,629.7777777777778,227.22222222222223,584.2315744906664,891.7537366896868,666.0905271464931,0.8247275352478027,44.96410000137985,0.1
sample_020,dataset\search\sample_020_search.png,dataset\reference\sample_020_ref.png,dataset\metadata\sample_020_metadata.json,837.0,217.4,836.9901444455609,217.40945899486542,0.013660327125164002,0.9134728908538818,45.05129999961355,0.1
sample_021,dataset\search\sample_021_search.png,dataset\reference\sample_021_ref.png,dataset\metadata\sample_021_metadata.json,471.0,159.63636363636363,70.671711653471,813.0749364644289,766.3189328928527,0.7761262059211731,44.81400000076974,0.1
sample_022,dataset\search\sample_022_search.png,dataset\reference\sample_022_ref.png,dataset\metadata\sample_022_metadata.json,270.3,491.2,270.36319464445114,491.2125528305769,0.06442931508868685,0.9707557559013367,44.437600001401734,0.1
sample_023,dataset\search\sample_023_search.png,dataset\reference\sample_023_ref.png,dataset\metadata\sample_023_metadata.json,618.4444444444445,596.5555555555555,264.71472987532616,728.2343765050173,377.44406586379165,0.6388631463050842,45.12249999970663,0.1
sample_024,dataset\search\sample_024_search.png,dataset\reference\sample_024_ref.png,dataset\metadata\sample_024_metadata.json,603.5454545454545,500.0,56.45238709449768,354.68643522262573,566.0625906745696,0.8682284355163574,44.63469999973313,0.1
sample_025,dataset\search\sample_025_search.png,dataset\reference\sample_025_ref.png,dataset\metadata\sample_025_metadata.json,286.6,415.5,566.8340233713388,574.2505243718624,322.0758246798871,0.8623010516166687,46.595399999205256,0.1
sample_026,dataset\search\sample_026_search.png,dataset\reference\sample_026_ref.png,dataset\metadata\sample_026_metadata.json,376.6363636363636,340.3636363636364,85.17425099015236,811.9692690260708,554.4024132948267,0.7223427295684814,44.357200000376906,0.1
sample_027,dataset\search\sample_027_search.png,dataset\reference\sample_027_ref.png,dataset\metadata\sample_027_metadata.json,431.5,543.1,431.4949758350849,543.1596170216799,0.0598283503622683,0.9490182995796204,43.94959999990533,0.1
sample_028,dataset\search\sample_028_search.png,dataset\reference\sample_028_ref.png,dataset\metadata\sample_028_metadata.json,389.6,469.0,389.59571275115013,468.98282880336046,0.017698319036975538,0.9421663284301758,43.685000000550644,0.1
sample_029,dataset\search\sample_029_search.png,dataset\reference\sample_029_ref.png,dataset\metadata\sample_029_metadata.json,434.45454545454544,608.2727272727273,69.91179533302784,354.4508861899376,444.2037186661275,0.9175271391868591,45.20720000073197,0.1
